,antibiotic,culture_description,age,gender,hosp_ward_ICU,hosp_ward_ER,hosp_ward_IP,hosp_ward_OP,ordering_mode,procedure_name,median_wbc,median_cr,susceptibility,exp_prev_aminoglycoside,exp_prev_ansamycin,exp_prev_antitubercular,exp_prev_beta_lactam,exp_prev_combination_antibiotic,exp_prev_fluoroquinolone,exp_prev_folate_synthesis_inhibitor,exp_prev_fosfomycin,exp_prev_glycopeptide,exp_prev_macrolide_lincosamide,exp_prev_monobactam,exp_prev_nitrofuran,exp_prev_nitroimidazole,exp_prev_oxazolidinone,exp_prev_polymyxin_lipopeptide,exp_prev_sulfonamide,exp_prev_tetracycline,exp_prev_urinary_antiseptic,comorb_congestive_heart_failure,comorb_organ_transplant_status,comorb_diabetes_any,comorb_solid_tumor_non_metastatic,comorb_chronic_pulmonary_any,comorb_renal_failure,comorb_pancreatic_disorder,comorb_sinusitis
antibiotic,1.0,0.07461222858976183,0.0010003650731740456,-0.007500733131063912,-0.029267192182861827,-0.04341518109402299,-0.04278702995721863,0.027846356046018268,0.040636282886463454,-0.011334692564987568,-0.014302381598299165,-0.008852917187639189,-0.1557633639768831,-0.004358844968669831,-0.007365050549006249,-0.004929566144118011,-0.006408112497086347,-0.008250042019835514,-0.008587420890201323,0.0011747410781288246,-0.002027191829027458,-0.014757869744281947,-0.009530654138846701,-0.0035041005245624937,0.0036114824021075765,-0.0037825236507308597,-0.008260758451594121,0.0034756276648041603,-0.004737538692246372,-0.005978100300236087,-0.0013141780829703468,-0.02029430136451103,-0.010129798064319042,-0.015496585634964585,0.0051213921536730775,-0.011701454912510102,-0.021437627993071036,-0.013018993585968001,0.019137775382645047
culture_description,0.07461222858976183,1.0,-0.13550812717077482,-0.0779062907911288,-0.2751288763315874,-0.49608507612125224,-0.41354732074817757,0.3292466320981104,0.3509983980266169,-0.1129429733150291,-0.13918813656781784,-0.1653414795277098,0.03622706412794177,0.01686703535782535,-0.03830622283943702,0.02317694492932084,-0.029264986694152558,0.057782902830645674,0.06600910528429844,-0.009526189721740897,0.04441526283428881,-0.11690827527168329,0.0794410935255443,0.009113487252490114,0.06880670394662577,-0.04186593474313176,0.045353188006080125,0.075748437800298,-0.040865353654303195,-0.0286025550388729,0.026318821475994653,-0.11739291672038239,-0.055716304476655105,-0.022726730604965887,-0.03455120130347557,0.09508009469840209,-0.23057488592208608,0.10747579433913362,0.32830905505883257
age,0.0010003650731740456,-0.13550812717077482,1.0,0.04850980451425797,0.12502027314488698,0.2581429879158209,0.17415872735664573,-0.2879701995625738,-0.044072613879292316,0.194914662474169,0.07859911895636243,0.0930954242152298,-0.08234749225296188,-0.07640231167914985,-0.02684089237493598,-0.01470634117689699,0.03921925282255313,-0.14392182634485975,-0.10791322000476786,0.0014025380384983803,0.057292391478523226,0.02087070987554429,-0.21845373473137844,-0.06299431469675518,0.10655166959133743,0.003497542481613209,-0.21578576285243972,-0.18183208545708945,0.016553206556277546,0.024908645450036612,0.06299832577853107,-0.005960611005686675,-0.07744581955087378,-0.15793786509555424,0.16888445514185732,-0.19711667922424786,0.26334322175277075,-0.4213403932604734,-0.21669189134784267
gender,-0.007500733131063912,-0.0779062907911288,0.04850980451425797,1.0,0.07359891248543435,0.09122152749312115,0.08416197143151594,-0.032037865061161346,-0.0957285863492962,0.031512044681448664,-0.008069262516705977,0.07828773725281124,-0.008868709488286575,-0.05596229696701351,-0.03179661034607726,-0.010768898681733283,-0.0051933046953963335,-0.026924021667619792,-0.02899357476472788,0.0124649036836664,-0.011898633961236249,0.033644786269596494,-0.06636079429060325,-0.014487892659776356,-0.12523151126738813,-0.006042236504797736,-0.02828312397579594,-0.013416723169218471,0.00113112400052183,-0.08409151571684291,-0.0034570871713856936,0.004904150905530842,-0.012199255740733309,-0.005117502438002459,0.037471502917183236,-0.011463664054262647,0.10439096931040201,-0.009664355497899155,-0.12981724893090604
hosp_ward_ICU,-0.029267192182861827,-0.2751288763315874,0.12502027314488698,0.07359891248543435,1.0,0.2852958221009907,0.3162381183382619,-0.23507615896638454,-0.2800088273375831,0.1566222076089914,0.08723924198129233,0.0034800810729820656,-0.07194068860302168,0.01657023408991846,0.02796410624222704,-0.03261010615021523,0.0138646961977319,-0.07144254960298817,-0.09676254210770607,0.01570588970334129,-0.013689856733506615,0.14786172932720615,-0.12019456800231604,-0.027025380844780428,-0.0020227136028646035,0.04350531468496022,-0.05801485098217202,-0.06887722300071386,0.05393678018692326,-0.0014046435702268405,-0.0004061831894428788,0.08949927640090834,0.05035073965052992,-0.021218631446624378,0.023998452083804696,-0.07259076413115836,0.22797998061793526,-0.11075198480149254,-0.3119842351449934
hosp_ward_ER,-0.04341518109402299,-0.49608507612125224,0.2581429879158209,0.09122152749312115,0.2852958221009907,1.0,0.5431764073438246,-0.40377113344369664,-0.4809483109025314,0.2237560233591018,0.07002271377248614,0.11837081136828664,-0.06278337293434891,-0.03781169420223065,0.029906691669239722,-0.04613620628713311,0.06044806805190461,-0.06836648842289722,-0.01952853066647539,0.019724937119491266,0.04032952670278224,0.1364005848796953,-0.09559837423777999,-0.009116906856176419,0.07815535567402282,0.10844506634231549,-0.08039254284170716,-0.11322743235934316,0.0574512712681206,0.053071637002379726,0.04312102120880817,0.11551845904113482,-0.014714054754159508,0.022259868514231295,0.10700005041217892,-0.1258805986951698,0.3199911294785468,-0.16753699855650206,-0.49128947827395736
hosp_ward_IP,-0.04278702995721863,-0.41354732074817757,0.17415872735664573,0.08416197143151594,0.3162381183382619,0.5431764073438246,1.0,-0.743351750894661,-0.8854366728746784,0.19716499178236874,0.06878871042327456,0.05962227596250764,0.027137486773118304,-0.032905578398640105,0.027522056374733633,-0.018728645562786,0.0780646158171182,-0.04171610635888348,-0.005684129915121758,0.016504158212016545,0.013581227484025819,0.12504434325595362,-0.09692539216089201,0.026228556439088977,0.03121540902349387,0.09717850830981535,0.009437641724363888,-0.12179727950448094,0.05892622610248474,-0.0031718513598210903,0.01207837828564495,0.027119127573706343,0.09275020310775402,0.06849866946049894,0.09657442687615986,-0.06409614122557312,0.26838669586368696,-0.10637061820169352,-0.4841138186395322
hosp_ward_OP,0.027846356046018268,0.3292466320981104,-0.2879701995625738,-0.032037865061161346,-0.23507615896638454,-0.40377113344369664,-0.743351750894661,1.0,0.34731257272574123,-0.10373350584781992,-0.06878871042327458,-0.059622275962507715,0.022603745254869217,0.09218222869224092,0.018513056804410184,0.057987418795284566,0.10455179938950752,0.1766964288054548,0.17629435593973017,-0.009739017628115933,-0.019448132747533306,-0.04443983758677965,0.2279135900095936,0.015869530589874413,-0.023130678746035364,-0.037970720516984385,0.08219900350108401,0.18880810863973632,-0.03756103551909429,0.037210948617342594,-0.033489754688066455,-0.06542897294519161,-0.0190090374715594,0.09830089778789441,-0.042160814191998984,0.20817470099384838,-0.18073652056021297,0.25667230126587426,0.25744642186836436
ordering_mode,0.040636282886463454,0.3509983980266169,-0.044072613879292316,-0.0957285863492962,-0.2800088273375831,-0.4809483109025314,-0.8854366728746784,0.34731257272574123,1.0,-0.204335507368627,-0.06878871042327458,-0.059622275962507715,-0.053750099264683174,-0.01791809931750063,-0.05144697927391865,-0.014034158540367613,-0.18208464029121524,-0.06428784430856252,-0.11452264986168707,-0.01637082784865252,-0.005527088053361368,-0.14442561746281557,-0.0224747846993,-0.0477968349418333,-0.02769023248948631,-0.1098545925945494,-0.070343705816722,0.03956471069387626,-0.05651237129998204,-0.02140790088202686,0.006336078700743918,0.007441801142523688,-0.11682123481439777,-0.16433069028131733,-0.10609638893874138,-0.054784159560230944,-0.25068048250906827,-0.02921516411647484,0.49981504343971556
procedure_name,-0.011334692564987568,-0.1129429733150291,0.194914662474169,0.031512044681448664,0.1566222076089914,0.2237560233591018,0.19716499178236874,-0.10373350584781992,-0.204335507368627,1.0,0.041729040539186066,0.05714380434941616,-0.014375539068865024,0.1229121893848914,0.06541077505792756,-0.01147111704611273,0.3479131292076259,0.13590479449386678,0.17856873618684377,0.022293633304663076,0.09127690721069284,0.284497717432277,0.10445081427490294,0.03289852531835648,0.18172495480497364,0.2386313964198692,0.07524881191130156,0.010323898946150723,0.09157303035461142,0.12301242699373018,0.06737341511827231,0.168565557568476,0.1456283206594792,0.09600548589381173,0.2064372829514445,0.0575342704036017,0.2727495682053998,0.003154468707823921,-0.1800788883112816
median_wbc,-0.014302381598299165,-0.13918813656781784,0.07859911895636243,-0.008069262516705977,0.08723924198129233,0.07002271377248614,0.06878871042327456,-0.06878871042327458,-0.06878871042327458,0.041729040539186066,1.0,0.06422408931399531,-0.01443138518577753,0.005780392064618572,-0.01935868931879591,-0.017378455178416803,0.015318693855165419,-0.04853794150288921,-0.06736155352380564,-0.002593071949795555,-0.019506005790848803,-0.006269436036674037,-0.026243250766578265,-0.0230353416718646,-0.018508255524761038,-0.024421397604615012,-0.05518876619340296,-0.012437066812466787,-0.04956181963923221,-0.03333672045206004,-0.0342357014641582,0.006443773518004303,-0.06471898292033805,-0.01102612834495169,-0.007828016410776281,-0.005387610763877769,0.023851957852441884,-0.03822679574414906,-0.04389934197720632
median_cr,-0.008852917187639189,-0.1653414795277098,0.0930954242152298,0.07828773725281124,0.0034800810729820656,0.11837081136828664,0.05962227596250764,-0.059622275962507715,-0.059622275962507715,0.05714380434941616,0.06422408931399531,1.0,-0.033128496284125036,0.13573867132138923,0.03587193752609782,0.01487753589805837,0.0489787222626078,-0.03158742658319799,0.03741567967001611,0.021656206001056222,-0.00034421953839682305,0.041147726060864837,0.02998915637116419,-0.029734671352677947,-0.02085807282199797,0.017480637337007263,-0.041509031504557994,-0.049207816916105526,0.02332748318374185,0.004493856773953093,-0.014476165075049998,0.0671301094580248,0.1230199520625613,0.05766840456068202,-0.003738301157494044,-0.05932959498586179,0.4600574801039205,-0.06411561518661973,-0.09111508138482935
susceptibility,-0.1557633639768831,0.03622706412794177,-0.08234749225296188,-0.008868709488286575,-0.07194068860302168,-0.06278337293434891,0.027137486773118304,0.022603745254869217,-0.053750099264683174,-0.014375539068865024,-0.01443138518577753,-0.033128496284125036,1.0,0.0439788273361174,0.032226740145644646,0.02125743126166548,0.023803308727891992,0.05029931773356075,0.0697836663504204,0.008022529410527918,-0.007575587740638715,0.009984694852846662,0.10516993521402175,0.04272567721984504,-0.02688270454241198,0.03536622632688767,0.12562994762583996,0.06966804122026957,0.00884762947611371,0.0033817653196153647,-0.0045466698358557186,0.00039724148691039975,0.03820158125786054,0.08918654335498676,-0.028180243899060993,0.09875444393392054,-0.020902676270205253,0.12490138052529173,0.04210398835227438
exp_prev_aminoglycoside,-0.004358844968669831,0.01686703535782535,-0.07640231167914985,-0.05596229696701351,0.01657023408991846,-0.03781169420223065,-0.032905578398640105,0.09218222869224092,-0.01791809931750063,0.1229121893848914,0.005780392064618572,0.13573867132138923,0.0439788273361174,1.0,0.18844551406612842,0.05276727344753404,0.23065495474955336,0.20858016133021712,0.2752239436387471,0.013010274702860161,0.039891874601204344,0.17300423674326418,0.269190296502007,0.10765896314093411,0.07177204532562632,0.14770519716977779,0.20018239403028587,0.22210121583187012,0.046004430262456555,0.07601568113112168,0.024716494750895487,0.09967304893299662,0.20796308700345406,0.2091432373898238,0.025147659570731035,0.25191780638909017,0.08138468414485407,0.23017419324560626,0.11332828757178798
exp_prev_ansamycin,-0.007365050549006249,-0.03830622283943702,-0.02684089237493598,-0.03179661034607726,0.02796410624222704,0.029906691669239722,0.027522056374733633,0.018513056804410184,-0.05144697927391865,0.06541077505792756,-0.01935868931879591,0.03587193752609782,0.032226740145644646,0.18844551406612842,1.0,0.40930413203580235,0.13620829113847954,0.17525217467645463,0.2200705454145224,-0.005594945322263971,-0.004135968460809019,0.17008519903881603,0.19694801621220503,0.04879359579284155,0.10178670271122177,0.1860894771943227,0.08353544196330158,0.1506714104383288,0.02928227181976506,0.14998223820217493,0.02521830490038033,0.08147229626101302,0.1394510582424551,0.10117988274320722,0.004954798251062173,0.1591812940942141,0.09494194721345893,0.1370165942954482,0.04142406140177583
exp_prev_antitubercular,-0.004929566144118011,0.02317694492932084,-0.01470634117689699,-0.010768898681733283,-0.03261010615021523,-0.04613620628713311,-0.018728645562786,0.057987418795284566,-0.014034158540367613,-0.01147111704611273,-0.017378455178416803,0.01487753589805837,0.02125743126166548,0.05276727344753404,0.40930413203580235,1.0,0.04355233458905199,0.15387679190755188,0.14321566608244266,-0.003490877300490606,-0.007355707480011839,-0.005630123722986289,0.1253223184605535,-0.01723168417926377,0.00406467582040234,0.008560123043061587,0.029012091363024725,0.028472444226865245,-0.004066965565245641,0.062267630137792906,0.03928180633904074,0.047724421461991545,0.020207639858967046,0.035098992362070446,-0.013156466026895701,0.1858101180903956,-0.026852503940855425,0.07134461247299788,0.05962717544938893
exp_prev_beta_lactam,-0.006408112497086347,-0.029264986694152558,0.03921925282255313,-0.0051933046953963335,0.0138646961977319,0.06044806805190461,0.0780646158171182,0.10455179938950752,-0.18208464029121524,0.3479131292076259,0.015318693855165419,0.0489787222626078,0.023803308727891992,0.23065495474955336,0.13620829113847954,0.04355233458905199,1.0,0.31836437849057225,0.3931191976624399,0.0003844000698286774,0.03570929066580449,0.3006852413654168,0.32563279993452476,0.11042050717978606,0.13989862392759325,0.2697839691043939,0.20434948425339197,0.1368615813694452,0.09293446709352009,0.19513430979486934,0.043317418422974506,0.13132461852442082,0.16874279544019888,0.2180332961818077,0.14001347977875345,0.24918903889764912,0.18213165412039894,0.13431010485899036,0.10885502717258282
exp_prev_combination_antibiotic,-0.008250042019835514,0.057782902830645674,-0.14392182634485975,-0.026924021667619792,-0.07144254960298817,-0.06836648842289722,-0.04171610635888348,0.1766964288054548,-0.06428784430856252,0.13590479449386678,-0.04853794150288921,-0.03158742658319799,0.05029931773356075,0.20858016133021712,0.17525217467645463,0.15387679190755188,0.31836437849057225,1.0,0.4221377797992093,0.0009315588348550555,0.012176299791253106,0.25225649656699994,0.3675521636161252,0.0838604150220562,0.11889254370819967,0.22756401826238593,0.3180980158309502,0.19118186055845285,0.09111779407905571,0.1960375387718862,-0.0025517848123520976,0.1348462892265168,0.23477948599363888,0.2879480307992362,-0.004532271207962866,0.33064630418471513,0.07943949606264057,0.2947134811817304,0.20932303980064554
exp_prev_fluoroquinolone,-0.008587420890201323,0.06600910528429844,-0.10791322000476786,-0.02899357476472788,-0.09676254210770607,-0.01952853066647539,-0.005684129915121758,0.17629435593973017,-0.11452264986168707,0.17856873618684377,-0.06736155352380564,0.03741567967001611,0.0697836663504204,0.2752239436387471,0.2200705454145224,0.14321566608244266,0.3931191976624399,0.4221377797992093,1.0,0.016004386612439275,0.03308803299200584,0.2379771189818179,0.4990771366796552,0.14298848348842366,0.13752816734511467,0.2857502172855633,0.31336225305219906,0.2700454768640138,0.09355236779387992,0.2178418157173675,0.03229673908567577,0.19943913335179744,0.20938464498948112,0.34336154826274007,0.05303695460451084,0.4313937241806856,0.11364877212654131,0.37324407448423974,0.17791591495737336
